"과목 및 유형",2022,2022,2022,2022,2022,2022
"과목 및 유형",평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%)
"대상분포(%)",100.0,10.4,20.4,30.0,20.0,19.3
"사교육 참여",66.0,77.5,73.6,67.5,61.4,54.0
"과목: 일반교과 사교육",55.4,72.6,67.9,59.2,48.3,34.3
"국  어",25.8,38.0,34.7,26.6,20.6,13.9
"영  어",42.1,55.9,52.9,46.2,35.3,23.8
"수  학",46.7,65.7,59.1,50.1,38.7,26.3
"사회, 과학",14.3,21.4,18.4,15.2,11.6,7.3
"논  술",1.9,1.5,2.4,2.1,2.1,1.2
"제2외국어, 한문, 컴퓨터 등",1.7,1.3,1.6,1.8,1.5,2.2
"컴퓨터",0.8,0.7,0.6,0.8,0.6,1.1
"제2외국어, 한문",1.0,0.6,1.0,1.1,0.8,1.1
"과목: 예체능,취미,교양 사교육",16.0,8.5,10.8,13.9,19.9,24.8
"음  악",3.9,2.4,3.1,3.2,4.6,6.1
"미  술",4.1,1.8,2.9,3.8,5.8,5.3
"체  육",5.8,3.3,3.5,5.0,6.7,9.8
"취미·교양",3.0,1.4,1.7,2.5,3.7,5.3
"과목: 취업관련 사교육",1.9,1.5,1.4,1.7,1.9,3.2
"과목: 진로·진학 학습상담",4.0,7.5,5.7,3.2,2.9,2.5
"유형: 일반교과 사교육",55.4,72.6,67.9,59.2,48.3,34.3
"개인과외",13.1,16.0,15.6,13.2,12.4,9.3
"그룹과외",5.6,7.5,6.6,6.3,4.7,3.3
"학원수강",44.3,61.4,56.1,47.7,37.3,24.4
"방문학습지",0.5,0.6,0.4,0.5,0.4,0.6
"유료인터넷 및 통신강좌 등",9.8,14.2,12.3,10.1,8.4,5.7
"유형: 예체능,취미,교양 사교육",16.0,8.5,10.8,13.9,19.9,24.8
"개인과외",3.3,2.2,2.7,2.6,3.6,5.2
"그룹과외",1.1,0.8,0.8,0.8,1.2,1.9
"학원수강",11.0,5.1,7.0,9.8,14.4,16.8
"방문수업 및 기타",1.4,0.8,0.8,1.1,1.6,2.6
